id,date_collected,retailer_type,retailer_detail,food_type,food_detail,label_type,label_language,label_date,approximate_dollar_value,image_id,collection_lat,collection_long,label_explanation
5e31d5503b85a2e63d634187,1/27/2020,counter service,ready-to-eat and prepackaged health food,ready-to-eat,organic oatmeal,sticker,use by,1/28/2020,5.25,IMG_1872,40.69453,-73.99447,
5e31d5643b85a2e63d634188,1/27/2020,counter service,ready-to-eat and prepackaged health food,ready-to-eat,organic oatmeal,sticker,use by,1/28/2020,5.25,IMG_1873,40.69453,-73.99447,
5e31d8903b85a2e63d634189,1/27/2020,counter service,ready-to-eat and prepackaged health food,ready-to-eat,organic middle eastern salad,sticker,use by,1/28/2020,10,IMG_1874,40.69453,-73.99447,
5e31dcee3b85a2e63d63418a,1/27/2020,counter service,ready-to-eat and prepackaged health food,ready-to-eat,organic oatmeal,sticker,use by,1/28/2020,6.25,IMG_1875,40.69453,-73.99447,
5e31dd273b85a2e63d63418b,1/27/2020,counter service,ready-to-eat and prepackaged health food,ready-to-eat,organic mexican salad,sticker,use by,1/28/2020,10,IMG_1876,40.69453,-73.99447,
5e31dda03b85a2e63d63418c,1/27/2020,counter service,ready-to-eat and prepackaged health food,packaged,organic energy bar,sticker,12619,1/30/2020,3.5,IMG_1877,40.69453,-73.99447,
5e31ddb33b85a2e63d63418d,1/27/2020,counter service,ready-to-eat and prepackaged health food,packaged,organic energy bar,sticker,12619,1/30/2020,3.5,IMG_1879,40.69453,-73.99447,
5e31ddd23b85a2e63d63418e,1/27/2020,counter service,ready-to-eat and prepackaged health food,packaged,organic energy bar,sticker,12619,1/30/2020,3.5,IMG_1880,40.69453,-73.99447,
5e31dde13b85a2e63d63418f,1/27/2020,counter service,ready-to-eat and prepackaged health food,packaged,organic energy bar,sticker,12619,1/30/2020,3.5,IMG_1881,40.69453,-73.99447,
5e442b00c435958777371fc6,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,yogurt,package printed,,2/11/2020,3.99,IMG_1897,40.69335,-73.9915,
5e442be9c435958777371fc7,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,yogurt,package printed,,2/11/2020,3.99,IMG_1898,40.69335,-73.9915,
5e442cf0c435958777371fc8,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic yogurt,package printed,,2/11/2020,3.99,IMG_1899,40.69335,-73.9915,
5e4435a1c435958777371fc9,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,yogurt,package printed,,2020,1.25,IMG_1900,40.69335,-73.9915,
5e44362fc435958777371fca,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic yogurt,package printed,best by,3/25/2020,3.09,IMG_1902,40.69335,-73.9915,
5e44378ec435958777371fcb,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic oven roasted chicken breast,package printed,use or freeze by,2/1/2020,8.09,IMG_1905,40.69335,-73.9915,
5e4437c6c435958777371fcc,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic oven roasted chicken breast,package printed,use or freeze by,2/7/2020,8.09,IMG_1907,40.69335,-73.9915,
5e4445aac435958777371fcd,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic white flour torilla,package printed,,3/31/2019 21:16,4.38,IMG_1908,40.69335,-73.9915,
5e4445e8c435958777371fce,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic white flour torilla,package printed,,3/31/2019 21:14,4.38,IMG_1909,40.69335,-73.9915,
5e444759c435958777371fcf,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,brown rice torilla,package printed,t2513 dv,9/11/2019,4.38,IMG_1910,40.69335,-73.9915,lot numbers indicate the date of production and are used to track product for production and quality control purposes. we guarantee these products for 12 months when kept frozen from this date.
5e4449bcc435958777371fd0,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic sprouted grain torilla,sticker,,2/11/2020,4.49,IMG_1911,40.69335,-73.9915,
5e444b3bc435958777371fd1,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,millet and chia sliced bread,sticker,,2/11/2020,6.99,IMG_1912,40.69335,-73.9915,
5e444becc435958777371fd2,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic rocky mountain sourdough bread,sticker,,2/11/2020,5.99,IMG_1913,40.69335,-73.9915,
5e444ce5c435958777371fd3,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",shelf stable,organic cinnamon sticks,package printed,best by,9/1/2022,5.99,IMG_1915,40.69335,-73.9915,
5e4b37221c21c2a1bf62a7b3,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",shelf stable,organic marjoram,package printed,best by,,5.99,IMG_1916,40.69335,-73.9915,
5e4b37ae1c21c2a1bf62a7b4,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic sundried tomatoes,package printed,best by,4/15/2020,5.99,IMG_1917,40.69335,-73.9915,
5e4b39b11c21c2a1bf62a7b5,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",shelf stable,halva,package printed,by,10/28/2021,5.99,IMG_1918,40.69335,-73.9915,
5e4d3dfda5612b4eadee87c4,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,plant-based sausage,sticker,,2/11/2020,11.29,IMG_1919,40.69335,-73.9915,
5e4d3e1ba5612b4eadee87c5,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,plant-based sausage,sticker,,2/11/2020,11.29,IMG_1921,40.69335,-73.9915,
5e4d3e2ba5612b4eadee87c6,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,plant-based sausage,sticker,,2/11/2020,11.29,IMG_1922,40.69335,-73.9915,
5e4d4971a5612b4eadee87c7,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic riced cauliflower,package printed,best if used by,2/10/2020,5.19,IMG_1923,40.69335,-73.9915,
5e4d49a2a5612b4eadee87c8,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic riced cauliflower,package printed,best if used by,2/10/2020,5.19,IMG_1924,40.69335,-73.9915,
5e4d4a13a5612b4eadee87c9,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic riced cauliflower,package printed,best if used by,2/10/2020,5.19,IMG_1925,40.69335,-73.9915,
5e4d4a33a5612b4eadee87ca,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic riced cauliflower,package printed,best if used by,2/10/2020,5.19,IMG_1926,40.69335,-73.9915,
5e4d4abba5612b4eadee87cb,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,organic yogurt,package printed,,2/11/2020,0.75,IMG_1927,40.69335,-73.9915,
5e4d4ca4a5612b4eadee87cc,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,pasteurized grade a goat milk,package printed,sell by,2/14/2020,14.99,IMG_1929,40.69335,-73.9915,
5e4d4cada5612b4eadee87cd,2/11/2020,health food grocer,"ready-to-eat, shelf-stable, frozen, and perishable health food",perishable,pasteurized grade a goat milk,package printed,sell by,2/14/2020,14.99,IMG_1930,40.69335,-73.9915,
